frame_index,time_ns,NMP_CORE_mean_CA_distance_A,LID_CORE_mean_CA_distance_A
76,15.2,24.98079486416443,29.002336378414974
77,15.4,25.079573669896597,28.72264431129817
78,15.6,24.944911896173917,29.389955127731664
79,15.8,25.284545035696706,28.839291760315014
80,16.0,25.052011962097147,29.805896439237728
81,16.2,24.80058859679986,29.82818270842562
82,16.4,25.21129431372828,30.129997798057925
83,16.6,25.11990459553517,30.613833846781468
84,16.8,25.29766078620949,29.467950933158274
85,17.0,25.295341204490914,29.913237364299274
86,17.2,25.568094654816278,31.48639153544189
87,17.4,25.520111928693847,29.55547638679491
88,17.6,25.54374335263348,30.45591556465777
89,17.8,25.50573537432968,28.96760717548448
90,18.0,25.74043253685305,29.929865586585926
91,18.2,25.652252797252412,29.776385003983496
92,18.4,25.539980473216907,32.449383415477094
93,18.6,25.62718236361352,30.630600563936607
94,18.8,25.599872505300336,30.17190388133312
95,19.0,25.36377064980398,31.76390889818148
96,19.2,25.62355037504461,31.869156493871696
97,19.4,25.15959250538479,31.095570357608423
98,19.6,25.194617304483785,31.625477466549714
99,19.8,25.366274899938485,31.238160783662106
100,20.0,24.899382165187596,31.24361523343089
101,20.2,25.25964395774235,30.566042328135314
102,20.4,25.468634509216496,31.614273870470782
103,20.6,25.74791825260221,30.944512385432972
104,20.8,25.349267093384345,30.97548851694115
105,21.0,25.46551640432509,32.83951654175159
106,21.2,25.733672562254906,30.66833922682973
107,21.4,25.496016290491884,30.703305453438933
108,21.6,25.146714040233384,30.62837905393045
109,21.8,25.274929309483806,31.141990170640188
110,22.0,25.431676593539777,29.853318292460244
111,22.2,25.69946662358826,30.778210094045086
112,22.4,25.538135302910327,30.28428226101909
113,22.6,25.694699767034063,30.988802806291467
114,22.8,25.1058880238368,30.601929379607135
115,23.0,25.65923912920927,30.816014407095814
116,23.2,25.629575604073402,31.357686154252836
117,23.4,25.8569712834949,31.35796199914176
118,23.6,26.04096366225232,31.36923640027127
119,23.8,25.84322109756096,30.69133032987952
120,24.0,26.022481781905025,31.742354754458564
121,24.2,26.14993115485103,32.14293070486225
122,24.4,25.865352167568076,31.898053106513384
123,24.6,25.664073721128304,30.935479474468245
124,24.8,25.827013278877217,31.45529054382327
