trajectory	seed_lineage	persistence_saved_frames	persistence_ns	first_persistent_direction	first_persistent_start_ns	opposite_direction_departure_candidate	opposite_departure_start_ns	return_candidate	return_start_ns	strict_core_frames
R60A_GS05_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	20	20	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS05_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	50	50	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS06_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	5	5	OPEN_CONSENSUS	20.0	False		False		1
R60A_GS06_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	20	20	OPEN_CONSENSUS	20.0	False		False		1
R60A_GS06_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	50	50	OPEN_CONSENSUS	20.0	False		False		1
R60A_GS07_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	5	5	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS07_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	20	20	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS07_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	50	50	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS08_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	5	5	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS08_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	20	20	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS08_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	50	50	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS09_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	5	5	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS09_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	20	20	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS09_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	50	50	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS10_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	5	5	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS10_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	20	20	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS10_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	50	50	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS11_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	5	5	OPEN_CONSENSUS	20.0	False		False		1
R60A_GS11_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	20	20	OPEN_CONSENSUS	20.0	False		False		1
R60A_GS11_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	50	50	OPEN_CONSENSUS	20.0	False		False		1
R60A_GS12_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	5	5	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS12_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	20	20	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS12_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	50	50	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS13_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	5	5	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS13_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	20	20	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS13_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	50	50	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS14_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	5	5	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS14_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	20	20	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS14_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	50	50	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS15_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	5	5	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS15_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	20	20	OPEN_CONSENSUS	20.0	False		False		0
