trajectory,seed,tau,n_direction,open_fraction,far_fraction,label
R60A_GS07_2021_11_19_NaCl170mM_GMX_JeanZay,open,1.0,1001,0.9500499500499501,0.04995004995004995,agreement
R60A_GS07_2021_11_19_NaCl170mM_GMX_JeanZay,open,2.0,1001,0.999000999000999,0.000999000999000999,agreement
R60A_GS08_2021_11_19_NaCl170mM_GMX_JeanZay,open,0.5,1001,0.33266733266733267,0.6673326673326674,relative_only
R60A_GS08_2021_11_19_NaCl170mM_GMX_JeanZay,open,1.0,1001,0.6733266733266733,0.32667332667332666,partial
R60A_GS08_2021_11_19_NaCl170mM_GMX_JeanZay,open,2.0,1001,0.998001998001998,0.001998001998001998,agreement
R60A_GS09_2021_11_19_NaCl170mM_GMX_JeanZay,open,0.5,1001,0.6183816183816184,0.38161838161838163,partial
R60A_GS09_2021_11_19_NaCl170mM_GMX_JeanZay,open,1.0,1001,0.993006993006993,0.006993006993006993,agreement
R60A_GS09_2021_11_19_NaCl170mM_GMX_JeanZay,open,2.0,1001,1.0,0.0,agreement
R60A_GS10_2021_11_19_NaCl170mM_GMX_JeanZay,open,0.5,1001,0.9200799200799201,0.07992007992007992,agreement
R60A_GS10_2021_11_19_NaCl170mM_GMX_JeanZay,open,1.0,1001,0.998001998001998,0.001998001998001998,agreement
R60A_GS10_2021_11_19_NaCl170mM_GMX_JeanZay,open,2.0,1001,1.0,0.0,agreement
R60A_GS11_2021_11_19_NaCl170mM_GMX_JeanZay,open,0.5,1001,0.8191808191808192,0.18081918081918083,agreement
R60A_GS11_2021_11_19_NaCl170mM_GMX_JeanZay,open,1.0,1001,0.997002997002997,0.002997002997002997,agreement
R60A_GS11_2021_11_19_NaCl170mM_GMX_JeanZay,open,2.0,1001,1.0,0.0,agreement
R60A_GS12_2021_11_19_NaCl170mM_GMX_JeanZay,open,0.5,1001,0.7842157842157842,0.21578421578421578,partial
R60A_GS12_2021_11_19_NaCl170mM_GMX_JeanZay,open,1.0,1001,0.942057942057942,0.057942057942057944,agreement
R60A_GS12_2021_11_19_NaCl170mM_GMX_JeanZay,open,2.0,1001,1.0,0.0,agreement
R60A_GS13_2021_11_19_NaCl170mM_GMX_JeanZay,open,0.5,1001,0.972027972027972,0.027972027972027972,agreement
R60A_GS13_2021_11_19_NaCl170mM_GMX_JeanZay,open,1.0,1001,1.0,0.0,agreement
R60A_GS13_2021_11_19_NaCl170mM_GMX_JeanZay,open,2.0,1001,1.0,0.0,agreement
R60A_GS14_2021_11_19_NaCl170mM_GMX_JeanZay,open,0.5,1001,0.5174825174825175,0.4825174825174825,partial
R60A_GS14_2021_11_19_NaCl170mM_GMX_JeanZay,open,1.0,1001,0.993006993006993,0.006993006993006993,agreement
R60A_GS14_2021_11_19_NaCl170mM_GMX_JeanZay,open,2.0,1001,1.0,0.0,agreement
R60A_GS15_2021_11_19_NaCl170mM_GMX_JeanZay,open,0.5,1001,0.5394605394605395,0.46053946053946054,partial
R60A_GS15_2021_11_19_NaCl170mM_GMX_JeanZay,open,1.0,1001,0.8891108891108891,0.1108891108891109,agreement
R60A_GS15_2021_11_19_NaCl170mM_GMX_JeanZay,open,2.0,1001,0.999000999000999,0.000999000999000999,agreement
R60A_GS16_2021_11_19_NaCl170mM_GMX_JeanZay,open,0.5,1001,0.34765234765234765,0.6523476523476524,relative_only
R60A_GS16_2021_11_19_NaCl170mM_GMX_JeanZay,open,1.0,1001,0.8051948051948052,0.19480519480519481,agreement
R60A_GS16_2021_11_19_NaCl170mM_GMX_JeanZay,open,2.0,1001,1.0,0.0,agreement
R60A_GS17_2021_11_19_NaCl170mM_GMX_JeanZay,open,0.5,1001,0.7692307692307693,0.23076923076923078,partial
R60A_GS17_2021_11_19_NaCl170mM_GMX_JeanZay,open,1.0,1001,0.993006993006993,0.006993006993006993,agreement
R60A_GS17_2021_11_19_NaCl170mM_GMX_JeanZay,open,2.0,1001,1.0,0.0,agreement
R60A_GS18_2021_11_19_NaCl170mM_GMX_JeanZay,open,0.5,1001,0.027972027972027972,0.972027972027972,relative_only
R60A_GS18_2021_11_19_NaCl170mM_GMX_JeanZay,open,1.0,1001,0.11388611388611389,0.8861138861138861,relative_only
R60A_GS18_2021_11_19_NaCl170mM_GMX_JeanZay,open,2.0,1001,0.46153846153846156,0.5384615384615384,relative_only
R60A_GS19_2021_11_19_NaCl170mM_GMX_JeanZay,open,0.5,1001,0.7872127872127872,0.2127872127872128,partial
R60A_GS19_2021_11_19_NaCl170mM_GMX_JeanZay,open,1.0,1001,0.999000999000999,0.000999000999000999,agreement
R60A_GS19_2021_11_19_NaCl170mM_GMX_JeanZay,open,2.0,1001,1.0,0.0,agreement
R60A_GS20_2021_11_19_NaCl170mM_GMX_JeanZay,open,0.5,1001,0.9590409590409591,0.04095904095904096,agreement
R60A_GS20_2021_11_19_NaCl170mM_GMX_JeanZay,open,1.0,1001,1.0,0.0,agreement
R60A_GS20_2021_11_19_NaCl170mM_GMX_JeanZay,open,2.0,1001,1.0,0.0,agreement
