file,format,bins,first_axis_value,last_axis_value,axis_step_as_stored,axis_unit,counts_sum,maximum_count,zero_bins,normalized_or_corrected
55-69/Linearization_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,101727232,28107,32,False
55-69/Linearization_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,101727232,28107,32,False
60-119/60-119_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,14369280,100002,346,False
60-119/60-119_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,17800694,100012,350,False
60-119/IRF_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,2405888,100028,563,False
60-119/IRF_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,2360321,100014,608,False
60-119/Linearization_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,76573113,21115,41,False
60-119/Linearization_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,76524822,21023,52,False
60-132/60-132_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,31884326,100004,346,False
60-132/60-132_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,17481734,100002,349,False
60-132/IRF_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,2587136,100006,416,False
60-132/IRF_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,2587136,100006,416,False
60-132/Linearization_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,362701825,100002,44,False
60-132/Linearization_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,362701825,100002,44,False
60-150/60-150_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,31811586,100004,349,False
60-150/60-150_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,17950221,100001,351,False
60-150/IRF_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,2587136,100006,416,False
60-150/IRF_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,2587136,100006,416,False
60-150/Linearization_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,362701825,100002,44,False
60-150/Linearization_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,362701825,100002,44,False
60-86/60-86_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,33061909,100001,349,False
